Category,Price,Product,Subtitle,NutriScore,Vegan,Vegetarian,Url,Alcohol,Calcium,Protein,Energy,Folate,Iron,Iodine,Carbohydrates,Copper,Magnesium,Manganese,Sodium,Potassium,Fat,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin E,Vitamin H,Vitamin K,Fiber,Monounsaturated Fat,Polyunsaturated Fat,Unsaturated Fat,Sugars,Saturated Fat,Zinc,Salt
diepvries,1.75,AH Biologisch Sperziebonen,"450 gPrijs per KG € 3,89",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi409995/ah-biologisch-sperziebonen,,,2.4 g,150 kJ (36 kcal),,,,5.1 g,,,,,,0.2 g,,,,,,,,,,,,1.9 g,,,0.1 g,,0.1 g,,
diepvries,0.73,AH Spinazie a la creme dbl,"450 gPrijs per KG € 1,62",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi777/ah-spinazie-a-la-creme-dbl,,,1.8 g,183 kJ (44 kcal),,,,3.1 g,,,,,,2.2 g,,,,,,,,,,,,2.3 g,,,1.5 g,,0.7 g,,
diepvries,1.79,Aviko Aardappelbolletjes,"600 gPrijs per KG € 2,98",,False,False,https://www.ah.nl/producten/product/wi173815/aviko-aardappelbolletjes,,,2.5 g,735 kJ (175 kcal),,,,27.5 g,,,,,,5.5 g,,,,,,,,,,,,2.5 g,,,,,0.7 g,,
diepvries,1.39,Iglo Spinazie à la crème,"500 gPrijs per KG € 2,78",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi486429/iglo-spinazie-a-la-creme,,,3.5 g,228 kJ (55 kcal),,,,3.4 g,,,,,,2.6 g,521 µg,,45.5 µg,,,,,,,,706 µg,1.8 g,,,,,0.7 g,,
diepvries,7.99,Iglo Lekkerbekjes traditioneel,"4 x 120 gPrijs per KG € 16,65",Nutri-Score B,False,False,https://www.ah.nl/producten/product/wi237651/iglo-lekkerbekjes-traditioneel,,,11 g,955 kJ (238 kcal),,,,19 g,,,,,,13 g,,,,,,,,,,,,0.5 g,,,,,1 g,,
diepvries,1.49,AH Friszoete rode kool met appeltjes,"750 gPrijs per KG € 1,99",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi382563/ah-friszoete-rode-kool-met-appeltjes,,,1.6 g,243 kJ (58 kcal),,,,9.9 g,,,,,,0.9 g,,,,,,,,,,,,1.8 g,,,0.8 g,,0.1 g,,
diepvries,1.99,AH Krokante pizza margherita,2 stuks,Nutri-Score B,False,True,https://www.ah.nl/producten/product/wi445259/ah-krokante-pizza-margherita,,,9.6 g,1001 kJ (238 kcal),,,,30 g,,,,,,8.3 g,,,,,,,,,,,,2.6 g,,,5.7 g,,2.3 g,,
diepvries,3.49,AH Snelle zoete aardappel airfryer friet,"600 gPrijs per KG € 5,82",Nutri-Score B,True,True,https://www.ah.nl/producten/product/wi489702/ah-snelle-zoete-aardappel-airfryer-friet,,,1.5 g,787 kJ (188 kcal),,,,23 g,,,,,,9.1 g,,,,,,,,,,,,4.2 g,,,7.7 g,,1.1 g,,
diepvries,1.99,AH Doosje met kersen,"250 gPrijs per KG € 7,96",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi170004/ah-doosje-met-kersen,,,1.1 g,293 kJ (69 kcal),,,,15 g,,,,,,0.1 g,,,,,,,,12 mg,,,,1.9 g,,,0.1 g,,0 g,,
diepvries,1.55,Bonduelle Bloemkool rijst,"400 gNormale prijs per KG € 3,88",Nutri-Score A,False,False,https://www.ah.nl/producten/product/wi453747/bonduelle-bloemkool-rijst,,,1.3 g,90 kJ (22 kcal),,,,2.2 g,,,,,,0.4 g,,,116 µg,,,,,,,,,2 g,,,,,0.1 g,,
diepvries,0.69,AH Boerenkool deelblokjes,"450 gPrijs per KG € 1,53",Nutri-Score A,True,True,https://www.ah.nl/producten/product/wi98974/ah-boerenkool-deelblokjes,,,1.4 g,131 kJ (31 kcal),,,,2.7 g,,,,,,1 g,,,,,,,,,,,,3 g,,,0.7 g,,0.2 g,,
diepvries,2.59,AH Lekkerbekjes,"3 x 100 gPrijs per KG € 8,63",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi799/ah-lekkerbekjes,,,7.4 g,827 kJ (198 kcal),,,,17 g,,,,,,11 g,,,,,,,,,,,,0.7 g,,,7.8 g,,1.3 g,,
diepvries,1.95,AH Aardappelschijfjes,"600 gPrijs per KG € 3,25",Nutri-Score A,False,True,https://www.ah.nl/producten/product/wi765/ah-aardappelschijfjes,,,2.5 g,568 kJ (135 kcal),,,,21 g,,,,,,4 g,,,,,,,,,,,,2.5 g,1.3 g,2.2 g,3.5 g,,0.5 g,,
diepvries,1.49,AH Peren ijsjes,12 stuks,Nutri-Score C,False,True,https://www.ah.nl/producten/product/wi139097/ah-peren-ijsjes,,,0.2 g,298 kJ (70 kcal),,,,17 g,,,,,,0.01 g,,,,,,,,34 mg,,,,0.6 g,,,0 g,,0.01 g,,
diepvries,2.49,Lekker & Anders Turkse pizza,"2 x 180gPrijs per KG € 6,92",,False,False,https://www.ah.nl/producten/product/wi445628/lekker-en-anders-turkse-pizza,,,7.9 g,981 kJ (233 kcal),,,,39 g,,,,,,4.7 g,,,,,,,,,,,,,,,,,0.7 g,,
diepvries,3.49,Dr. Oetker Ristorante pizza salami mozzarella pesto,"360 gPrijs per KG € 9,69",Nutri-Score C,False,False,https://www.ah.nl/producten/product/wi514008/dr-oetker-ristorante-pizza-salami-mozzarella-pesto,,,9.2 g,1055 kJ (252 kcal),,,,22 g,,,,,,13 g,,,,,,,,,,,,2.2 g,,,,,4.5 g,,
diepvries,2.79,AH Oven partymix,"320 gPrijs per KG € 8,72",Nutri-Score D,False,False,https://www.ah.nl/producten/product/wi420338/ah-oven-partymix,,,9.5 g,1125 kJ (270 kcal),,,,21 g,,,,,,16 g,,,,,,,,,,,,1.5 g,,,11 g,,4 g,,
diepvries,5.86,Dr. Oetker Friet snacks en ijs pakket,per stuk,,False,False,https://www.ah.nl/producten/product/wi538386/dr-oetker-friet-snacks-en-ijs-pakket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
